epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20555,0.85338,3.39986,1.10399,0.80974,0.44189,0.40825,0.34713,0.56383,2.59523,0.94366,8.335e-05,8.335e-05,8.335e-05
2,3.93323,0.69914,1.96822,1.03765,0.53898,0.61538,0.64936,0.5678,0.59246,2.37778,0.95494,0.000180344,0.000180344,0.000180344
3,5.6501,0.67436,1.61149,0.98211,0.72772,0.93579,0.93821,0.82729,0.61072,1.84034,0.96042,0.000274038,0.000274038,0.000274038
4,7.32701,0.66359,1.20493,0.9601,0.88447,0.87999,0.95192,0.82095,0.6552,1.17583,0.99466,0.000364431,0.000364431,0.000364431
5,9.07499,0.68692,1.05556,0.95704,0.90873,0.91429,0.94225,0.80196,0.6351,1.16247,0.96686,0.000451524,0.000451524,0.000451524
6,10.7026,0.65982,0.91726,0.9229,0.81934,0.94286,0.94303,0.79448,0.65711,0.9534,0.97922,0.000535315,0.000535315,0.000535315
7,12.3098,0.64344,0.86194,0.89525,0.87689,0.91429,0.94293,0.79519,0.7067,0.79143,0.99369,0.000615806,0.000615806,0.000615806
8,13.879,0.64544,0.84412,0.91978,0.86183,0.9,0.90266,0.76174,0.66575,0.80381,0.99336,0.000692997,0.000692997,0.000692997
9,15.4608,0.70623,0.75947,0.92106,0.77876,0.82768,0.83884,0.72092,0.68782,0.97617,0.99373,0.000766887,0.000766887,0.000766887
10,17.0652,0.67344,0.83164,0.96329,0.56794,0.76154,0.58596,0.50966,0.72593,1.86032,0.97973,0.000837476,0.000837476,0.000837476
11,18.665,0.71733,0.66156,0.9104,0.53784,0.86048,0.57319,0.49449,0.74565,2.46763,1.01947,0.000904764,0.000904764,0.000904764
12,20.3373,0.61733,0.59021,0.89949,0.56086,0.81868,0.57307,0.482,0.75585,2.25922,1.02302,0.000968752,0.000968752,0.000968752
